id,date_scrap,heure,home,away,cote_1,cote_X,cote_2
2025-12-26_Shifnal_Town_FC_Congleton_Town,2025-12-26,3:00pm,Shifnal Town FC,Congleton Town,Shif,Draw,Cong
2025-12-26_Mossley_Stalybridge_Celtic,2025-12-26,3:00pm,Mossley,Stalybridge Celtic,2.75,3.75,2.10
2025-12-26_Bootle_Runcorn_Linnets,2025-12-26,3:00pm,Bootle,Runcorn Linnets,Boot,Draw,Runc
2025-12-26_Trafford_Avro,2025-12-26,3:00pm,Trafford,Avro,Traf,Draw,Avro
2025-12-26_Bury_Clitheroe,2025-12-26,3:00pm,Bury,Clitheroe,Bury,Draw,Clit
2025-12-26_Atherton_Collieries_Wythenshawe_Town,2025-12-26,3:00pm,Atherton Collieries,Wythenshawe Town,Athe,Draw,Wyth
2025-12-26_Sporting_Khalsa_Darlaston_Town,2025-12-26,3:00pm,Sporting Khalsa,Darlaston Town,Spor,Draw,Darl
2025-12-26_Witton_Albion_Nantwich_Town,2025-12-26,3:00pm,Witton Albion,Nantwich Town,Witt,Draw,Nant
2025-12-26_Angola_Zimbabwe,2025-12-26,12:30pm,Angola,Zimbabwe,1.72,3.75,4.90
2025-12-26_Egypt_South_Africa,2025-12-26,3:00pm,Egypt,South Africa,1.75,3.60,4.80
2025-12-26_Zambia_Comoros,2025-12-26,5:30pm,Zambia,Comoros,1.83,3.65,4.30
2025-12-26_Morocco_Mali,2025-12-26,8:00pm,Morocco,Mali,1.42,4.30,9.00
2025-12-26_Modena_Monza,2025-12-26,4:15pm,Modena,Monza,2.40,2.90,3.25
